Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
M25_000000_t01Ved14.xlsx;Валюта баланса;ValBal;3;;"""2022"",""предыдущий"",""Валюта баланса""";Валюта баланса
M25_000000_t01Ved14.xlsx;nan;Na;;14;nan;"""2023"",""конец"",""nan"""
M25_000000_t01Ved14.xlsx;Внеоборотные активы;VneAkt;5;;"""2022"",""предыдущий"",""Внеоборотные активы""";Внеоборотные активы
M25_000000_t01Ved14.xlsx;Оборотные активы;OboAkt;7;;"""2022"",""предыдущий"",""Оборотные активы""";Оборотные активы
M25_000000_t01Ved14.xlsx;Капитал и резервы;KapIRez;9;;"""2022"",""предыдущий"",""Капитал и резервы""";Капитал и резервы
M25_000000_t01Ved14.xlsx;Долгосрочные обязательства;DolOby;11;;"""2022"",""предыдущий"",""Долгосрочные обязательства""";Долгосрочные обязательства
M25_000000_t01Ved14.xlsx;Краткосрочные обязательства;KraOby;13;;"""2022"",""предыдущий"",""Краткосрочные обязательства""";Краткосрочные обязательства
M25_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
M25_000000_t01Ved14.xlsx;nan в % к валюте баланса;NaV%KValBal;16;;nan в % к валюте баланса;nan в % к валюте баланса
M25_000000_t01Ved14mo8.xlsx;Валюта баланса;ValBal_1;3;;"""2022"",""предыдущий"",""Валюта баланса""";Валюта баланса
M25_000000_t01Ved14mo8.xlsx;nan;Na_1;;14;nan;"""2023"",""конец"",""nan"""
M25_000000_t01Ved14mo8.xlsx;Внеоборотные активы;VneAkt_1;5;;"""2022"",""предыдущий"",""Внеоборотные активы""";Внеоборотные активы
M25_000000_t01Ved14mo8.xlsx;Оборотные активы;OboAkt_1;7;;"""2022"",""предыдущий"",""Оборотные активы""";Оборотные активы
M25_000000_t01Ved14mo8.xlsx;Капитал и резервы;KapIRez_1;9;;"""2022"",""предыдущий"",""Капитал и резервы""";Капитал и резервы
M25_000000_t01Ved14mo8.xlsx;Долгосрочные обязательства;DolOby_1;11;;"""2022"",""предыдущий"",""Долгосрочные обязательства""";Долгосрочные обязательства
M25_000000_t01Ved14mo8.xlsx;Краткосрочные обязательства;KraOby_1;13;;"""2022"",""предыдущий"",""Краткосрочные обязательства""";Краткосрочные обязательства
M25_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg_1;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
M25_000000_t01Ved14mo8.xlsx;nan в % к валюте баланса;NaV%KValBal_1;16;;nan в % к валюте баланса;nan в % к валюте баланса
M25_000000_t03Ved14.xlsx;Внеоборотные активы nan;VneAktNa;3;;Внеоборотные активы nan;Внеоборотные активы nan
M25_000000_t03Ved14.xlsx;nan nan;NaNa;4;8;nan nan;nan nan
M25_000000_t03Ved14.xlsx;nan в том числе материальные внеоборотные активы(включая основные средства, незавершенные капитальные вложения в основные средства);NaVToChiMatVneAktOsnSreNezKapVloVOsnSre;5;;nan в том числе материальные внеоборотные активы(включая основные средства, незавершенные капитальные вложения в основные средства);nan в том числе материальные внеоборотные активы(включая основные средства, незавершенные капитальные вложения в основные средства)
M25_000000_t03Ved14.xlsx;nan нематериальные ,финансовые и другие внеоборотные активы;NaNem,fiIDruVneAkt;7;;nan нематериальные ,финансовые и другие внеоборотные активы;nan нематериальные ,финансовые и другие внеоборотные активы
M25_000000_t10Ved14.xlsx;Оборотные активы nan;OboAktNa;3;;Оборотные активы nan;Оборотные активы nan
M25_000000_t10Ved14.xlsx;nan nan;NaNa_1;4;10;nan nan;nan nan
M25_000000_t10Ved14.xlsx;в том числе : запасы;VToChi:Zap;5;;в том числе : запасы;в том числе : запасы
M25_000000_t10Ved14.xlsx;nan денежные средства и денежные эквиваленты;NaDenSreIDenEkv;7;;nan денежные средства и денежные эквиваленты;nan денежные средства и денежные эквиваленты
M25_000000_t10Ved14.xlsx;nan финансовые и другие оборотные активы (включая дебиторскую задолженность);NaFinIDruOboAkt(vkDebZad;9;;nan финансовые и другие оборотные активы (включая дебиторскую задолженность);nan финансовые и другие оборотные активы (включая дебиторскую задолженность)
M25_000000_t13Ved14.xlsx;Оборотные активы длительность 1 оборота;OboAktDli1Obo;3;;Оборотные активы длительность 1 оборота;Оборотные активы длительность 1 оборота
M25_000000_t13Ved14.xlsx;Запасы длительность 1 оборота;ZapDli1Obo;4;;Запасы длительность 1 оборота;Запасы длительность 1 оборота
M25_000000_t13Ved14.xlsx;Краткосрочная кредиторская задолженность средний срок погашения;KraKreZadSreSrPog;5;;Краткосрочная кредиторская задолженность средний срок погашения;Краткосрочная кредиторская задолженность средний срок погашения
M25_000000_t13Ved14.xlsx;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения;FinIDruAkt(deNdPoPriTseKraFinVloSreSrPog;6;;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения
M25_000000_t13Ved14.xlsx;Средняя стоимость оборотных активов, тыс.рублей nan;SreStoOboAktTysNa;7;;Средняя стоимость оборотных активов, тыс.рублей nan;Средняя стоимость оборотных активов, тыс.рублей nan
M25_000000_t14Ved14.xlsx;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения);FinIDruAkt(deNdPoPriTseKraFinVlo;3;;"""2022"",""предыдущий"",""Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения)""";Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения)
M25_000000_t14Ved14.xlsx;nan;Na_2;;6;nan;"""2023"",""конец"",""nan"""
M25_000000_t14Ved14.xlsx;Обязательства без заемных средств;ObyBeZaeSre;5;;"""2022"",""предыдущий"",""Обязательства без заемных средств""";Обязательства без заемных средств
M25_000000_t20Ved14.xlsx;Займы и кредиты;ZayIKre;3;;"""2022"",""предыдущий"",""Займы и кредиты""";Займы и кредиты
M25_000000_t20Ved14.xlsx;nan;Na_3;;6;nan;"""2023"",""конец"",""nan"""
M25_000000_t20Ved14.xlsx;Другие долгосрочные обязательства;DruDolOby;5;;"""2022"",""предыдущий"",""Другие долгосрочные обязательства""";Другие долгосрочные обязательства
M25_000000_t21Ved14.xlsx;Займы и кредиты;ZayIKre_1;3;;"""2022"",""предыдущий"",""Займы и кредиты""";Займы и кредиты
M25_000000_t21Ved14.xlsx;nan;Na_4;;8;nan;"""2023"",""конец"",""nan"""
M25_000000_t21Ved14.xlsx;Кредиторская задолженность;KreZad;5;;"""2022"",""предыдущий"",""Кредиторская задолженность""";Кредиторская задолженность
M25_000000_t21Ved14.xlsx;Другие краткосрочные обязательства;DruKraOby;7;;"""2022"",""предыдущий"",""Другие краткосрочные обязательства""";Другие краткосрочные обязательства
M25_000000_t22Ved14.xlsx;Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%);SooZaeISobSre(noOgrMenLiRav100;3;;"""2022"",""предыдущий"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)""";Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)
M25_000000_t22Ved14.xlsx;nan;Na_5;;26;nan;"""2023"",""конец"",""nan"""
M25_000000_t22Ved14.xlsx;Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %);KoeAvt(doSobSreVValBal(noOgrBolLiRav50%);5;;"""2022"",""предыдущий"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)""";Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)
M25_000000_t22Ved14.xlsx;Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств);KoeMan(doSobOboSreKIstSobSre;7;;"""2022"",""предыдущий"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)""";Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)
M25_000000_t22Ved14.xlsx;Доля имущества производственного назначения в валюте баланса;DolImuProNazVValBal;9;;"""2022"",""предыдущий"",""Доля имущества производственного назначения в валюте баланса""";Доля имущества производственного назначения в валюте баланса
M25_000000_t22Ved14.xlsx;Коэффициент обеспеченности собственными материальными оборотными средствами;KoeObeSobMatOboSre;11;;"""2022"",""предыдущий"",""Коэффициент обеспеченности собственными материальными оборотными средствами""";Коэффициент обеспеченности собственными материальными оборотными средствами
M25_000000_t22Ved14.xlsx;Коэффициент обеспеченности собственными оборотными средствами;KoeObeSobOboSre;13;;"""2022"",""предыдущий"",""Коэффициент обеспеченности собственными оборотными средствами""";Коэффициент обеспеченности собственными оборотными средствами
M25_000000_t22Ved14.xlsx;Доля долгосрочных обязательств к источнику собственных средств и долгосрочным обязательствам;DolDolObyKIstSobSreIDolOby;15;;"""2022"",""предыдущий"",""Доля долгосрочных обязательств к источнику собственных средств и долгосрочным обязательствам""";Доля долгосрочных обязательств к источнику собственных средств и долгосрочным обязательствам
M25_000000_t22Ved14.xlsx;Доля источников финансирования (источники собственных средств и долгосрочные обязательства) в валюте баланса;DolIstFin(isSobSreIDolObyVValBal;17;;"""2022"",""предыдущий"",""Доля источников финансирования (источники собственных средств и долгосрочные обязательства) в валюте баланса""";Доля источников финансирования (источники собственных средств и долгосрочные обязательства) в валюте баланса
M25_000000_t22Ved14.xlsx;Коэффициент абсолютной ликвидности (нормальное ограничение 20 %);KoeAbsLik(noOgr20%);19;;"""2022"",""предыдущий"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)""";Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)
M25_000000_t22Ved14.xlsx;Коэффициент ликвидности (нормальное ограничение 80 %);KoeLik(noOgr80%);21;;"""2022"",""предыдущий"",""Коэффициент ликвидности (нормальное ограничение 80 %)""";Коэффициент ликвидности (нормальное ограничение 80 %)
